pc4,lat,lon
3769,52.119,5.291
3015,51.913,4.467
4624,51.485,4.305
4152,51.887,5.152
1359,52.340,5.195
8026,52.494,6.166
4033,51.943,5.516
2923,51.913,4.604
9123,53.360,6.066
3267,51.789,4.282
7686,52.477,6.567
1657,52.731,5.017
4223,51.878,4.945
2691,51.998,4.167
3081,51.893,4.487
9261,53.179,6.067
2352,52.161,4.524
4621,51.494,4.302
9745,53.219,6.507
9431,52.854,6.608
2282,52.052,4.335
8313,52.808,5.703
9993,53.333,6.646
1686,52.677,5.060
5991,51.330,6.093
7263,52.011,6.475
7794,52.547,6.577
2613,52.009,4.349
4184,51.829,5.301
5613,51.439,5.497
8351,52.824,6.220
8617,53.020,5.572
2153,52.261,4.639
2871,51.949,4.849
6129,50.996,5.772
2141,52.356,4.681
9884,53.289,6.362
2242,52.145,4.395
6443,50.941,5.976
4944,51.689,4.908
8556,52.895,5.648
5316,51.771,5.187
6431,50.926,5.931
3033,51.928,4.469
7213,52.201,6.203
4125,51.987,5.119
1693,52.735,5.147
5462,51.616,5.533
8607,53.020,5.663
1354,52.338,5.219
1508,52.458,4.823
8835,53.135,5.650
4322,51.734,3.845
8444,52.937,5.949
7934,52.752,6.502
8612,52.980,5.554
7641,52.364,6.597
5431,51.728,5.879
1454,52.432,4.954
6811,51.981,5.906
9062,53.251,5.900
2041,52.379,4.540
1105,52.298,4.956
4671,51.634,4.368
5664,51.419,5.559
9166,53.481,6.162
4442,51.524,3.979
6663,51.868,5.866
2584,52.103,4.278
7472,52.248,6.597
9903,53.318,6.847
2034,52.361,4.646
9943,53.211,6.942
4511,51.396,3.552
8212,52.513,5.504
9075,53.278,5.576
1623,52.644,5.071
9337,53.054,6.439
7783,52.608,6.672
5583,51.396,5.486
2222,52.202,4.433
7054,51.950,6.417
1541,52.461,4.804
5293,51.622,5.359
3141,51.920,4.262
8433,53.065,6.334
1812,52.614,4.759
8734,53.097,5.619
9564,52.918,7.029
1353,52.337,5.209
6237,50.920,5.765
4472,51.502,3.861
7961,52.726,6.258
7915,52.682,6.501
9257,53.223,6.004
7843,52.748,6.808
5813,51.488,5.898
7205,52.141,6.180
8844,53.116,5.633
3076,51.876,4.523
5133,51.525,5.020
6002,51.259,5.678
2987,51.893,4.580
5427,51.603,5.678
4212,51.852,5.011
1432,52.278,4.796
5915,51.357,6.187
7115,51.952,6.749
9366,53.131,6.311
5616,51.440,5.459
9072,53.296,5.653
2051,52.392,4.609
7664,52.447,6.780
8044,52.543,6.041
3584,52.085,5.164
5401,51.659,5.611
8361,52.811,5.960
6865,51.979,5.795
4245,51.913,5.048
7604,52.359,6.641
9044,53.236,5.688
7381,52.168,6.046
3045,51.947,4.450
1822,52.652,4.777
8221,52.555,5.482
3024,51.906,4.457
1829,52.633,4.776
1069,52.356,4.791
5245,51.732,5.351
2491,52.069,4.389
5666,51.424,5.572
3161,51.856,4.424
7395,52.237,6.048
6369,50.835,5.980
9356,53.166,6.362
9967,53.363,6.460
4766,51.663,4.693
3067,51.945,4.552
9284,53.217,6.161
9918,53.310,6.766
6652,51.880,5.604
8882,53.378,5.255
9623,53.239,6.715
9606,53.143,6.715
8566,52.858,5.568
7831,52.853,6.980
8842,53.167,5.605
9482,53.080,6.615
4325,51.731,3.768
9632,53.134,6.807
1447,52.492,4.968
9472,53.078,6.696
9176,53.326,5.915
9082,53.236,5.832
6627,51.826,5.536
9626,53.232,6.811
5995,51.292,6.048
8226,52.494,5.495
1060,52.349,4.784
1141,52.454,5.037
1334,52.395,5.279
3073,51.893,4.500
5688,51.507,5.311
1398,52.331,5.066
2353,52.166,4.534
9213,53.101,6.034
5263,51.661,5.280
3555,52.117,5.078
6666,51.956,5.755
2143,52.360,4.725
3273,51.787,4.473
5358,51.788,5.641
1676,52.741,5.055
6971,52.094,6.155
9085,53.180,5.834
2771,52.074,4.656
6587,51.727,5.915
9749,53.194,6.450
8409,53.033,6.140
1489,52.546,4.775
7634,52.405,6.951
6265,50.796,5.770
9001,53.093,5.837
2172,52.223,4.527
3047,51.943,4.405
9361,53.185,6.333
4354,51.579,3.615
4541,51.279,3.834
4587,51.369,4.018
9821,53.222,6.336
6133,50.988,5.860
1785,52.938,4.774
3202,51.856,4.317
4613,51.505,4.282
3138,51.925,4.327
3833,52.130,5.422
7009,51.977,6.293
8103,52.396,6.286
6181,50.950,5.768
7683,52.464,6.499
3051,51.945,4.478
6745,52.043,5.579
3581,52.090,5.134
7231,52.138,6.232
5961,51.454,6.052
